opdb_id_,first_five,is_machine,name,common_name,shortname,physical_machine,ipdb_id,manufacture_date,year_,type,display,player_count,features,keywords,manufacturer_name,manufacturer_full_name,title,images_type,urls_medium,urls_large,urls_small,sizes_medium_width,sizes_medium_height,sizes_large_width,sizes_large_height,sizes_small_width,sizes_small_height,opdb_id,group_name
GrkDY-MQwdB,GrkDY,True,Pinky,,,1,1801,1950-09-01,1950,em,lights,1,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/98168cc0-b486-47c6-9c9d-f51f8447df6c-medium.jpg,https://img.opdb.org/98168cc0-b486-47c6-9c9d-f51f8447df6c-large.jpg,https://img.opdb.org/98168cc0-b486-47c6-9c9d-f51f8447df6c-small.jpg,640,567,822,728,250,221,GrkDY,Pinky
Grdpe-MLbK2,Grdpe,True,Mystic Marvel,,,1,1652,1954-02-01,1954,em,lights,1,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/1a6255f3-0a24-42c1-8151-8351d14a0cf5-medium.jpg,https://img.opdb.org/1a6255f3-0a24-42c1-8151-8351d14a0cf5-large.jpg,https://img.opdb.org/1a6255f3-0a24-42c1-8151-8351d14a0cf5-small.jpg,640,536,717,600,250,209,Grdpe,Mystic Marvel
GRwyv-MQNwr,GRwyv,True,Barb Wire,,BW,1,3795,1996-01-04,1996,ss,dmd,4,,movie ,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/a70fdd33-ba07-4cd0-ac13-883ededfff71-medium.jpg,https://img.opdb.org/a70fdd33-ba07-4cd0-ac13-883ededfff71-large.jpg,https://img.opdb.org/a70fdd33-ba07-4cd0-ac13-883ededfff71-small.jpg,640,464,827,600,250,181,GRwyv,Barb Wire
GreoN-MJj0y,GreoN,True,Tic-Tac-Toe,,,1,2559,1959-01-01,1959,em,lights,1,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/a5cfdcc8-7c70-47e6-a75f-005f6243405e-medium.jpg,https://img.opdb.org/a5cfdcc8-7c70-47e6-a75f-005f6243405e-large.jpg,https://img.opdb.org/a5cfdcc8-7c70-47e6-a75f-005f6243405e-small.jpg,595,640,610,656,232,250,GreoN,Tic-Tac-Toe
GRLbz-MDnxo,GRLbz,True,Split Second,,,1,2297,1981-01-08,1981,ss,alphanumeric,4,Widebody ,,Stern,"Stern Pinball, Inc.",Backglass,backglass,https://img.opdb.org/a6a9e20e-010c-455f-8aa0-8f1792b255a9-medium.jpg,https://img.opdb.org/a6a9e20e-010c-455f-8aa0-8f1792b255a9-large.jpg,https://img.opdb.org/a6a9e20e-010c-455f-8aa0-8f1792b255a9-small.jpg,640,461,833,600,250,180,GRLbz,Split Second
G4den-MLRYK,G4den,True,Joust,,,1,1316,1983-01-04,1983,ss,alphanumeric,2,Head-to-head play ,video-games ,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/121a99e7-5eb1-4288-810f-b5693005ef68-medium.jpg,https://img.opdb.org/121a99e7-5eb1-4288-810f-b5693005ef68-large.jpg,https://img.opdb.org/121a99e7-5eb1-4288-810f-b5693005ef68-small.jpg,640,577,665,600,250,226,G4den,Joust
GRWLD-MJ6Ko,GRWLD,True,Thunderbird,,,1,2555,1954-01-01,1954,em,lights,1,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/db8e7f0a-e11c-4676-b18b-61faa0cb78dc-medium.jpg,https://img.opdb.org/db8e7f0a-e11c-4676-b18b-61faa0cb78dc-large.jpg,https://img.opdb.org/db8e7f0a-e11c-4676-b18b-61faa0cb78dc-small.jpg,640,612,640,612,250,239,GRWLD,Thunderbird
GRwYo-MQoPw,GRwYo,True,Blackout,,BO,1,317,1980-06-01,1980,ss,alphanumeric,4,,,Williams,"Williams Electronic Games, Inc.",Backglass,backglass,https://img.opdb.org/6fe570ee-63ba-495a-b7b8-3837d91de8d3-medium.jpg,https://img.opdb.org/6fe570ee-63ba-495a-b7b8-3837d91de8d3-large.jpg,https://img.opdb.org/6fe570ee-63ba-495a-b7b8-3837d91de8d3-small.jpg,460,350,460,350,250,190,GRwYo,Blackout
GrJen-MQ4l6,GrJen,True,Dodge City,,,1,695,1965-07-01,1965,em,reels,4,,,Gottlieb,D. Gottlieb & Co.,Backglass,backglass,https://img.opdb.org/a1899373-f681-487e-aec4-add53433c7e9-medium.jpg,https://img.opdb.org/a1899373-f681-487e-aec4-add53433c7e9-large.jpg,https://img.opdb.org/a1899373-f681-487e-aec4-add53433c7e9-small.jpg,640,480,640,480,250,188,GrJen,Dodge City
GRo3e-MQ7OW,GRo3e,True,Heavy Metal Meltdown,,HMM,1,1150,1987-01-08,1987,ss,alphanumeric,4,,,Bally,Bally Manufacturing Co.,Backglass,backglass,https://img.opdb.org/db7c09d8-ccf1-466d-a89e-6f07097b63cb-medium.jpg,https://img.opdb.org/db7c09d8-ccf1-466d-a89e-6f07097b63cb-large.jpg,https://img.opdb.org/db7c09d8-ccf1-466d-a89e-6f07097b63cb-small.jpg,640,550,698,600,250,215,GRo3e,Heavy Metal Meltdown
